full_model_0
50 epochs, no oversampling, no spec augment, random crop, with scheduler, no focal loss, with bias initialization, early stopping with patience 15, 6 seconds, n_mels=64
epoch,train_loss,val_loss,val_mAP
17,0.0199,0.0415,0.418
18,0.0192,0.0419,0.4215
19,0.0184,0.0412,0.4156
20,0.0179,0.0411,0.4163
21,0.0176,0.0424,0.4186
22,0.0169,0.0417,0.4281
23,0.0164,0.0416,0.4155
24,0.016,0.0424,0.4273
25,0.0157,0.0413,0.422
26,0.0154,0.044,0.4165
27,0.0148,0.0431,0.4253
28,0.0145,0.0442,0.4182
29,0.0143,0.0434,0.4205
30,0.0137,0.0431,0.4311
31,0.0135,0.0446,0.4186
32,0.0131,0.0465,0.4096
33,0.0128,0.044,0.4189
34,0.0125,0.0457,0.421
35,0.0121,0.044,0.4274
36,0.0119,0.0465,0.4174
37,0.0118,0.0453,0.4194
38,0.0114,0.0452,0.4247
39,0.0111,0.0467,0.4173
40,0.0109,0.0458,0.4277

full_model_7
100 epochs, 4 blocks, new classifier, with oversampling, no spec augment, no focal loss, random crop, scheduler, bias initialization, early stopping with patience 20, 6 seconds, n_mels=128
epoch,train_loss,val_loss,val_mAP
1,0.0533,0.0542,0.1781
2,0.0443,0.0485,0.2335
3,0.0399,0.0455,0.2734
4,0.0369,0.046,0.2987
5,0.0344,0.0462,0.3253
6,0.0328,0.0434,0.3383
7,0.0309,0.0426,0.3572
8,0.0296,0.0421,0.3712
9,0.0289,0.0414,0.3828
10,0.0277,0.0414,0.3919
11,0.0264,0.0402,0.3994
12,0.0256,0.0405,0.4057
13,0.025,0.0417,0.407
14,0.024,0.0411,0.4144
15,0.0235,0.0395,0.4234
16,0.0231,0.0399,0.4269
17,0.0224,0.0415,0.4217
18,0.0216,0.0401,0.4277
19,0.0211,0.0388,0.4436
20,0.0208,0.0396,0.4409
21,0.0204,0.0404,0.4403
22,0.02,0.0404,0.4414
23,0.0199,0.0394,0.4408
24,0.0191,0.0408,0.4407
25,0.019,0.0443,0.4256
26,0.0185,0.0402,0.4556
27,0.0183,0.0395,0.452
28,0.0181,0.0402,0.4485
29,0.0175,0.0425,0.4402
30,0.0173,0.0414,0.4496
31,0.0171,0.0415,0.449
32,0.0168,0.041,0.4569
33,0.0165,0.042,0.4478
34,0.0164,0.0416,0.4417
35,0.016,0.0402,0.4531
36,0.0157,0.0417,0.454
37,0.0155,0.0404,0.4636
38,0.0155,0.0408,0.4503
39,0.0152,0.0403,0.4601
40,0.0149,0.0401,0.459
41,0.0147,0.042,0.4639
42,0.0145,0.0408,0.457
43,0.0144,0.0418,0.451
44,0.0142,0.0416,0.4583
45,0.0139,0.0417,0.4597
46,0.0137,0.0435,0.4562
47,0.0136,0.0418,0.4624
48,0.0135,0.0422,0.4577
49,0.0133,0.0423,0.4606
50,0.0131,0.0425,0.4605
51,0.013,0.0418,0.4628
52,0.0127,0.0425,0.4619
53,0.0126,0.0429,0.4625
54,0.0125,0.042,0.4658
55,0.0123,0.0433,0.4618
56,0.0123,0.042,0.4643
57,0.0122,0.0428,0.4597
58,0.012,0.0426,0.4654
59,0.0119,0.0426,0.4587
60,0.0117,0.0426,0.4632
61,0.0115,0.0429,0.4645
62,0.0114,0.0426,0.4661
63,0.0114,0.0425,0.4639
64,0.0112,0.0435,0.461
65,0.0111,0.0433,0.4707
66,0.011,0.0435,0.4664
67,0.0109,0.0428,0.4684
68,0.011,0.0429,0.4686
69,0.0106,0.0444,0.4648
70,0.0107,0.0431,0.4691
71,0.0106,0.0429,0.4637
72,0.0105,0.0442,0.4617
73,0.0105,0.0432,0.4657
74,0.0105,0.0436,0.4648
75,0.0102,0.043,0.4712
76,0.0101,0.0438,0.469
77,0.0102,0.0434,0.4688
78,0.01,0.0444,0.4623
79,0.01,0.0444,0.4657
80,0.0099,0.0436,0.4686
81,0.0099,0.0445,0.4677
82,0.0098,0.0441,0.4692
83,0.0099,0.0445,0.4664
84,0.0097,0.0444,0.4705
85,0.0098,0.044,0.4695
86,0.0098,0.044,0.4693
87,0.0098,0.0445,0.4662
88,0.0097,0.0443,0.4684
89,0.0098,0.0445,0.4644
90,0.0096,0.0442,0.4659
91,0.0096,0.0446,0.4707
92,0.0096,0.044,0.4677
93,0.0094,0.0442,0.4683
94,0.0096,0.0443,0.4697
95,0.0096,0.0442,0.4688

full_model_9
100 epochs, 4 blocks, new classifier, with oversampling, no spec augment, no focal loss, random crop, scheduler, no bias initialization, early stopping with patience 15, 6 seconds, n_mels=128
epoch,train_loss,val_loss,val_mAP
1,0.0592,0.0526,0.1748
2,0.0441,0.0517,0.232
3,0.0386,0.0455,0.3034
4,0.035,0.0455,0.3154
5,0.0324,0.0435,0.3468
6,0.0302,0.0422,0.3696
7,0.0285,0.0426,0.3823
8,0.0272,0.0414,0.3951
9,0.026,0.0417,0.4028
10,0.0249,0.0401,0.4152
11,0.0238,0.0407,0.4128
12,0.0233,0.04,0.4252
13,0.0224,0.0412,0.4234
14,0.0219,0.04,0.4336
15,0.0213,0.0397,0.4445
16,0.0205,0.0399,0.4367
17,0.0199,0.0395,0.4569
18,0.0194,0.0416,0.4366
19,0.0191,0.0413,0.4495
20,0.0182,0.0401,0.454
21,0.0182,0.0405,0.4497
22,0.0178,0.0417,0.4515
23,0.0173,0.0433,0.4349
24,0.0169,0.0402,0.4576
25,0.0164,0.0418,0.4502
26,0.0162,0.0426,0.4535
27,0.0159,0.0412,0.4539
28,0.0156,0.0411,0.4572
29,0.0153,0.0432,0.4486
30,0.0151,0.0417,0.4668
31,0.0149,0.0438,0.4572
32,0.0146,0.0426,0.4552
33,0.0145,0.0429,0.461
34,0.0141,0.0423,0.4653
35,0.014,0.0424,0.4561
36,0.0136,0.0429,0.4571
37,0.0135,0.0426,0.4599
38,0.0133,0.0426,0.4596
39,0.0131,0.0444,0.4615
40,0.0127,0.0438,0.4624
41,0.0126,0.0432,0.465
42,0.0125,0.0429,0.4651
43,0.0125,0.0439,0.4645
44,0.0121,0.0417,0.4678
45,0.0119,0.044,0.47
46,0.0118,0.0435,0.4593
47,0.0115,0.0437,0.4723
48,0.0115,0.0446,0.4575
49,0.0114,0.0445,0.4604
50,0.0112,0.0453,0.4629
51,0.0109,0.0447,0.463
52,0.0109,0.0458,0.4648
53,0.0107,0.0443,0.4714
54,0.0107,0.0457,0.4574
55,0.0105,0.0448,0.4698
56,0.0103,0.0453,0.4676
57,0.0101,0.0451,0.4695
58,0.0101,0.0442,0.4642
59,0.0101,0.0461,0.4572
60,0.0098,0.0463,0.4668
61,0.0098,0.0457,0.4642
62,0.0097,0.0461,0.4677

full_model_10
100 epochs, 4 blocks, new classifier, no oversampling, no spec augment, with focal loss, random crop, scheduler, with bias initialization, early stopping with patience 15, 6 seconds, n_mels=128
epoch,train_loss,val_loss,val_mAP
1,0.0901,0.0856,0.1165
2,0.0645,0.0698,0.1658
3,0.0572,0.0764,0.1954
4,0.0513,0.0664,0.2184
5,0.0466,0.0649,0.2375
6,0.043,0.0623,0.2594
7,0.0403,0.0595,0.2822
8,0.0386,0.0561,0.3119
9,0.0368,0.0591,0.3157
10,0.0353,0.0542,0.3404
11,0.0339,0.0549,0.3506
12,0.0328,0.0576,0.3618
13,0.0317,0.0568,0.3648
14,0.0305,0.0532,0.3806
15,0.0299,0.0545,0.3932
16,0.0288,0.0541,0.3944
17,0.0283,0.0528,0.3974
18,0.0273,0.0533,0.4012
19,0.0269,0.0536,0.3998
20,0.0265,0.0526,0.4116
21,0.0256,0.0532,0.4121
22,0.0251,0.0548,0.4087
23,0.0247,0.0556,0.4216
24,0.0241,0.0535,0.4264
25,0.0239,0.054,0.4231
26,0.0232,0.0558,0.4231
27,0.0228,0.0577,0.4196
28,0.0224,0.0582,0.4209
29,0.0224,0.0579,0.423
30,0.0219,0.0566,0.4361
31,0.0216,0.0563,0.4361
32,0.0211,0.0593,0.4309
33,0.021,0.06,0.4288
34,0.0206,0.0571,0.4359
35,0.0206,0.0592,0.4318
36,0.02,0.059,0.4403
37,0.0199,0.0597,0.4429
38,0.0194,0.0601,0.435
39,0.0194,0.0593,0.4515
40,0.0191,0.0601,0.4387
41,0.0186,0.0611,0.4415
42,0.0185,0.0609,0.4477
43,0.0181,0.0614,0.4546
44,0.0181,0.0631,0.4441
45,0.0179,0.0605,0.4537
46,0.0176,0.0605,0.443
47,0.0174,0.0619,0.4609
48,0.0172,0.0645,0.4483
49,0.0169,0.062,0.4569
50,0.0167,0.0624,0.4535
51,0.0167,0.0632,0.4538
52,0.0165,0.0631,0.4566
53,0.0163,0.0647,0.4548
54,0.016,0.0629,0.4549
55,0.016,0.0664,0.4547
56,0.0157,0.0673,0.4598
57,0.0155,0.0655,0.4545
58,0.0155,0.065,0.4564
59,0.0152,0.0656,0.462
60,0.015,0.0688,0.4625
61,0.0149,0.0674,0.4601
62,0.0148,0.0694,0.4595
63,0.0147,0.069,0.4598
64,0.0145,0.0681,0.4631
65,0.0143,0.0702,0.4594
66,0.0142,0.0699,0.463
67,0.0141,0.0691,0.4601
68,0.014,0.069,0.466
69,0.0139,0.0707,0.4676
70,0.0137,0.0694,0.4628
71,0.0136,0.0703,0.4685
72,0.0136,0.0716,0.4658
73,0.0134,0.0748,0.4622
74,0.0133,0.0729,0.4691
75,0.0131,0.0715,0.4659
76,0.013,0.076,0.4668
77,0.013,0.0731,0.4682
78,0.0129,0.0744,0.4723
79,0.0128,0.0735,0.4696
80,0.0127,0.0746,0.4681
81,0.0127,0.0743,0.4662
82,0.0126,0.0747,0.4741
83,0.0127,0.0749,0.4671
84,0.0126,0.0763,0.4692
85,0.0124,0.0768,0.4662
86,0.0125,0.0766,0.4662
87,0.0124,0.0742,0.4693
88,0.0123,0.0778,0.4693
89,0.0122,0.0767,0.4723
90,0.0123,0.0771,0.4724
91,0.0123,0.0772,0.4708
92,0.0122,0.077,0.4723
93,0.0122,0.0768,0.4701
94,0.0122,0.0763,0.4674
95,0.0121,0.077,0.4689
96,0.0122,0.0768,0.4666
97,0.0122,0.0773,0.4701

full_model_11
100 epochs, 4 blocks, new classifier, with oversampling, with spec augment, no focal loss, random crop, scheduler, no bias initialization, early stopping with patience 15, 6 seconds, n_mels=128
epoch,train_loss,val_loss,val_mAP
1,0.0606,0.0552,0.1563
2,0.0465,0.0547,0.2076
3,0.0412,0.0467,0.2736
4,0.0376,0.0459,0.3094
5,0.0351,0.0457,0.3272
6,0.033,0.0438,0.3618
7,0.0314,0.045,0.3611
8,0.0296,0.0439,0.3677
9,0.0287,0.0428,0.3888
10,0.0276,0.0423,0.3953
11,0.0266,0.0422,0.4086
12,0.0261,0.0407,0.4174
13,0.0252,0.0418,0.4169
14,0.0246,0.0408,0.4246
15,0.0239,0.0405,0.4269
16,0.0233,0.0413,0.4345
17,0.0226,0.0413,0.4329
18,0.0222,0.0406,0.4394
19,0.0215,0.0423,0.4268
20,0.0213,0.0411,0.4464
21,0.021,0.0406,0.4493
22,0.0204,0.0411,0.4545
23,0.0201,0.0411,0.4449
